Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
UDL10012,Hedgehog coronavirus,GenBank,,MW879219,HBD7,Hedgehog coronavirus,147,RNA-dependent RNA polymerase,2019-04
UDL10013,Hedgehog coronavirus,GenBank,,MW879220,HBD9,Hedgehog coronavirus,147,RNA-dependent RNA polymerase,2019-04
UDL10014,Hedgehog coronavirus,GenBank,,MW879221,HBD9,Hedgehog coronavirus,217,spike glycoprotein,2019-04
UDL10023,Hedgehog coronavirus,GenBank,,OK117933,HBD2,Hedgehog coronavirus,116,spike glycoprotein,2019-04
UDL10024,Hedgehog coronavirus,GenBank,,OK117934,HBD7,Hedgehog coronavirus,115,spike glycoprotein,2019-04
UDL10025,Hedgehog coronavirus,GenBank,,OK117935,HBD9,Hedgehog coronavirus,109,spike glycoprotein,2019-04
QZX47231,Hedgehog coronavirus,GenBank,,OK017789,M1-1,Hedgehog coronavirus,130,ORF1ab protein,2020-02
QVX24291,Hedgehog coronavirus,GenBank,,MT002834,HBB8,Hedgehog coronavirus,287,RNA-dependent RNA polymerase,2018
QVX24292,Hedgehog coronavirus,GenBank,,MT002835,HBB13,Hedgehog coronavirus,419,RNA-dependent RNA polymerase,2018
QVX24293,Hedgehog coronavirus,GenBank,,MT002836,HBD2,Hedgehog coronavirus,147,RNA-dependent RNA polymerase,2019
