Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
ADL71453,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,4027,polyprotein orf1a,2007-07-24
ADL71454,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,6694,orf1ab polyprotein,2007-07-24
ADL71455,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,1467,spike protein,2007-07-24
ADL71456,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,70,non-structural protein 3a,2007-07-24
ADL71457,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,73,non-structural protein 3b,2007-07-24
ADL71458,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,237,non-structural protein 3c,2007-07-24
ADL71459,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,82,envelope protein,2007-07-24
ADL71460,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,263,membrane protein,2007-07-24
ADL71461,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,377,nucleocapsid protein,2007-07-24
ADL71462,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,101,non-structural protein 7a,2007-07-24
ADL71463,Feline coronavirus UU18,GenBank,set:HQ012368,HQ012368,,Alphacoronavirus 1,206,non-structural protein 7b,2007-07-24
