Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
YP_004070193,Feline infectious peritonitis virus,RefSeq,GCF_000856025.1,NC_002306,79-1146,Alphacoronavirus 1,6709,polyprotein ab,
YP_004070194,Feline infectious peritonitis virus,RefSeq,GCF_000856025.1,NC_002306,79-1146,Alphacoronavirus 1,1452,spike protein,
YP_004070195,Feline infectious peritonitis virus,RefSeq,GCF_000856025.1,NC_002306,79-1146,Alphacoronavirus 1,71,putative 3a protein,
YP_004070196,Feline infectious peritonitis virus,RefSeq,GCF_000856025.1,NC_002306,79-1146,Alphacoronavirus 1,71,putative 3b protein,
YP_004070197,Feline infectious peritonitis virus,RefSeq,GCF_000856025.1,NC_002306,79-1146,Alphacoronavirus 1,82,E protein,
YP_004070198,Feline infectious peritonitis virus,RefSeq,GCF_000856025.1,NC_002306,79-1146,Alphacoronavirus 1,262,matrix protein,
YP_004070199,Feline infectious peritonitis virus,RefSeq,GCF_000856025.1,NC_002306,79-1146,Alphacoronavirus 1,377,nucleocapsid protein,
YP_004070200,Feline infectious peritonitis virus,RefSeq,GCF_000856025.1,NC_002306,79-1146,Alphacoronavirus 1,101,non-structural protein 7a,
YP_004070201,Feline infectious peritonitis virus,RefSeq,GCF_000856025.1,NC_002306,79-1146,Alphacoronavirus 1,206,non-structural protein 7b,
XUX57796,Feline coronavirus,GenBank,,PV741167,FCoV_UGM_Yogyakarta_1,Alphacoronavirus 1,123,nucleocapsid,2023
XUX57797,Feline coronavirus,GenBank,,PV741168,FCoV_UGM_Yogyakarta_5,Alphacoronavirus 1,122,nucleocapsid,2023
XUX57798,Feline coronavirus,GenBank,,PV741169,FCoV_UGM_Yogyakarta_4,Alphacoronavirus 1,122,nucleocapsid,2023
XUX57799,Feline coronavirus,GenBank,,PV741170,FCoV_UGM_Yogyakarta_3,Alphacoronavirus 1,123,nucleocapsid,2023
XUX57800,Feline coronavirus,GenBank,,PV741171,FCoV_UGM_Yogyakarta_2,Alphacoronavirus 1,122,nucleocapsid,2023
XTO94091,Feline coronavirus type 1,GenBank,,PQ565822,FCoV_1_1263.3_feces_USA_2023,Alphacoronavirus 1,419,spike protein,2023-08-29
XTO94092,Feline coronavirus type 1,GenBank,,PQ565823,FCoV_1_1263.1_CSF_USA_2023,Alphacoronavirus 1,419,spike protein,2023-08-29
BFU66012,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,6698,polyprotein 1ab,2024-08-24
BFU66013,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,4031,polyprotein 1a,2024-08-24
BFU66014,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,1230,spike protein,2024-08-24
BFU66015,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,70,non-structural protein 3a,2024-08-24
BFU66016,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,73,non-structural protein 3b,2024-08-24
BFU66017,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,226,non-structural protein 3c,2024-08-24
BFU66018,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,82,envelope protein,2024-08-24
BFU66019,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,264,membrane protein,2024-08-24
BFU66020,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,375,nucleocapsid protein,2024-08-24
BFU66021,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,101,non-structural protein 7a,2024-08-24
BFU66022,Feline coronavirus,GenBank,,LC852817,,Alphacoronavirus 1,206,non-structural protein 7b,2024-08-24
XQJ13170,Feline infectious peritonitis virus,GenBank,,PQ192636,FIPV/A15/LIU/2024,Alphacoronavirus 1,6709,ORF1a/1b polyprotein,2024
XQJ13171,Feline infectious peritonitis virus,GenBank,,PQ192636,FIPV/A15/LIU/2024,Alphacoronavirus 1,1452,spike protein,2024
XQJ13172,Feline infectious peritonitis virus,GenBank,,PQ192636,FIPV/A15/LIU/2024,Alphacoronavirus 1,71,putative 3a protein,2024
XQJ13173,Feline infectious peritonitis virus,GenBank,,PQ192636,FIPV/A15/LIU/2024,Alphacoronavirus 1,71,putative 3b protein,2024
XQJ13174,Feline infectious peritonitis virus,GenBank,,PQ192636,FIPV/A15/LIU/2024,Alphacoronavirus 1,82,E protein,2024
XQJ13175,Feline infectious peritonitis virus,GenBank,,PQ192636,FIPV/A15/LIU/2024,Alphacoronavirus 1,262,matrix protein,2024
XQJ13176,Feline infectious peritonitis virus,GenBank,,PQ192636,FIPV/A15/LIU/2024,Alphacoronavirus 1,377,nucleocapsid protein,2024
XQJ13177,Feline infectious peritonitis virus,GenBank,,PQ192636,FIPV/A15/LIU/2024,Alphacoronavirus 1,101,non-structural protein 7a,2024
